"x"
"1" "Pairwise Treatment Co-efficients; Median hazard ratio (95% Credible Interval)"
"" "x"
"1" "Row treatment vs. Column treatment (reference)"
"" "x"
"1" "------------------"
"","","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","beta[11]","beta[12]","beta[13]","beta[14]","beta[15]","beta[16]","beta[17]","beta[18]","beta[19]","beta[20]","beta[21]","beta[22]","beta[23]","beta[24]"
"beta[11]","2.37 (0.65,11.24)","4.65 (0.55,21.2)","3.79 (0.88,25.67)","1.46 (0.4,6.9)","3.11 (0.46,22.35)","0.86 (0.12,6.41)","3.69 (1.04,18.16)","2.73 (0.8,13.38)","3.85 (1.02,18.37)","4.14 (1.02,19.12)","1 (1,1)","4.86 (1.31,22.9)","3.55 (0.94,17.05)","4.16 (0.73,19.92)","2.25 (0.6,11.52)","3.23 (0.89,16.12)","7.59 (1.31,45.98)","1.03 (0.21,5.44)","4.95 (0.66,35.08)","6.44 (0.91,51.5)","1.84 (0.44,9.85)","5.13 (1.38,24.44)","4.15 (1.11,19.98)","1.77 (0.45,7.83)"
"beta[12]","0.5 (0.43,0.59)","0.95 (0.23,1.76)","0.72 (0.48,1.44)","0.32 (0.23,0.43)","0.66 (0.18,1.54)","0.16 (0.04,0.52)","0.79 (0.63,1.09)","0.56 (0.38,0.83)","0.8 (0.59,1.05)","0.64 (0.33,6.31)","0.21 (0.04,0.77)","1 (1,1)","0.7 (0.45,1.14)","0.74 (0.37,1.74)","0.48 (0.35,0.66)","0.67 (0.43,1.04)","1.13 (0.52,4.64)","0.23 (0.09,0.34)","1.02 (0.27,2.71)","1.38 (0.34,4.1)","0.36 (0.21,0.64)","1.09 (0.84,1.39)","0.85 (0.62,1.15)","0.34 (0.14,0.7)"
"beta[13]","0.71 (0.43,1.15)","1.31 (0.29,3.24)","1.06 (0.57,2.59)","0.44 (0.25,0.79)","0.94 (0.24,2.42)","0.23 (0.06,0.79)","1.12 (0.67,1.96)","0.82 (0.43,1.36)","1.12 (0.67,1.98)","0.94 (0.42,9.14)","0.28 (0.06,1.07)","1.43 (0.88,2.2)","1 (1,1)","1.06 (0.43,2.69)","0.67 (0.39,1.17)","0.98 (0.49,1.82)","1.78 (0.59,7.3)","0.31 (0.12,0.63)","1.44 (0.34,4.18)","2.03 (0.45,6.28)","0.53 (0.24,1.03)","1.58 (0.9,2.57)","1.22 (0.71,2.1)","0.47 (0.19,1.14)"
"beta[14]","0.66 (0.32,1.24)","1.33 (0.16,3.1)","0.97 (0.44,2.8)","0.42 (0.18,0.84)","0.97 (0.13,2.39)","0.21 (0.04,1.14)","1.09 (0.44,2.19)","0.76 (0.33,1.58)","1.06 (0.46,1.97)","0.92 (0.25,12.22)","0.24 (0.05,1.38)","1.36 (0.57,2.73)","0.95 (0.37,2.33)","1 (1,1)","0.63 (0.28,1.26)","0.9 (0.37,1.94)","1.62 (0.63,7.92)","0.31 (0.06,0.65)","1.55 (0.19,4.43)","2.01 (0.23,6.4)","0.48 (0.2,1.15)","1.46 (0.68,2.92)","1.13 (0.46,2.26)","0.44 (0.16,1.12)"
"beta[15]","1.04 (0.77,1.41)","1.99 (0.43,4.05)","1.56 (0.98,3.27)","0.66 (0.45,0.94)","1.4 (0.35,3.42)","0.33 (0.08,1.13)","1.66 (1.19,2.32)","1.17 (0.77,1.98)","1.67 (1.12,2.44)","1.37 (0.67,14.62)","0.44 (0.09,1.68)","2.09 (1.51,2.89)","1.48 (0.85,2.55)","1.58 (0.8,3.54)","1 (1,1)","1.38 (0.9,2.23)","2.5 (1.04,9.14)","0.47 (0.18,0.87)","2.1 (0.53,5.88)","2.92 (0.63,9.16)","0.75 (0.42,1.39)","2.28 (1.54,3.15)","1.77 (1.23,2.58)","0.7 (0.28,1.53)"
"beta[16]","0.73 (0.52,1.07)","1.42 (0.31,2.75)","1.1 (0.62,2.45)","0.46 (0.31,0.77)","0.96 (0.24,2.51)","0.24 (0.06,0.86)","1.17 (0.77,1.91)","0.84 (0.49,1.44)","1.16 (0.81,1.88)","0.99 (0.46,9.33)","0.31 (0.06,1.12)","1.49 (0.96,2.33)","1.02 (0.55,2.03)","1.11 (0.52,2.7)","0.73 (0.45,1.11)","1 (1,1)","1.77 (0.77,7.77)","0.33 (0.12,0.57)","1.46 (0.34,4.25)","2.02 (0.47,6.25)","0.54 (0.29,0.96)","1.61 (1.05,2.56)","1.25 (0.83,2.07)","0.49 (0.22,1.09)"
"beta[17]","0.4 (0.11,0.88)","1.06 (0.07,1.69)","0.49 (0.13,2.03)","0.25 (0.07,0.61)","0.71 (0.05,2.23)","0.13 (0.01,0.81)","0.69 (0.17,1.5)","0.51 (0.11,1.11)","0.67 (0.17,1.5)","0.7 (0.12,3.88)","0.13 (0.02,0.77)","0.89 (0.22,1.92)","0.56 (0.14,1.69)","0.62 (0.13,1.59)","0.4 (0.11,0.96)","0.56 (0.13,1.29)","1 (1,1)","0.21 (0.03,0.44)","1.05 (0.08,4.18)","1.42 (0.1,5.84)","0.3 (0.07,0.87)","0.9 (0.22,2.02)","0.74 (0.18,1.64)","0.28 (0.06,0.72)"
"beta[18]","2.25 (1.48,5.41)","4.22 (2.02,6.38)","3.77 (1.55,7.8)","1.42 (0.84,3.46)","3.1 (1.24,7.01)","0.76 (0.25,2.42)","3.57 (2.19,8.75)","2.61 (1.44,6.23)","3.55 (2.3,8.83)","3.19 (1.57,25.71)","0.97 (0.18,4.67)","4.44 (2.9,10.85)","3.24 (1.6,8.6)","3.23 (1.54,16.17)","2.14 (1.15,5.57)","3.04 (1.76,8.32)","4.68 (2.3,36.51)","1 (1,1)","4.63 (1.74,12.43)","6.07 (2.22,17.95)","1.66 (0.83,5.04)","4.91 (3.13,12.11)","3.91 (2.28,9.25)","1.52 (0.69,4.59)"
"beta[19]","0.49 (0.19,1.85)","0.79 (0.37,3.13)","0.87 (0.27,2.8)","0.31 (0.11,1.17)","0.64 (0.48,0.86)","0.19 (0.05,0.49)","0.79 (0.29,2.79)","0.57 (0.19,2.21)","0.77 (0.29,2.99)","0.61 (0.15,10.64)","0.2 (0.03,1.52)","0.98 (0.37,3.66)","0.69 (0.24,2.91)","0.64 (0.23,5.25)","0.48 (0.17,1.89)","0.68 (0.24,2.97)","0.95 (0.24,12.43)","0.22 (0.08,0.58)","1 (1,1)","1.34 (0.96,1.87)","0.37 (0.1,1.72)","1.05 (0.4,4.11)","0.84 (0.3,3.04)","0.31 (0.1,1.43)"
"beta[20]","0.37 (0.13,1.49)","0.6 (0.24,2.37)","0.65 (0.17,2.22)","0.23 (0.07,0.91)","0.47 (0.3,0.72)","0.14 (0.03,0.39)","0.59 (0.19,2.36)","0.42 (0.14,1.68)","0.58 (0.2,2.3)","0.48 (0.1,8.3)","0.16 (0.02,1.1)","0.72 (0.24,2.93)","0.49 (0.16,2.21)","0.5 (0.16,4.27)","0.34 (0.11,1.58)","0.5 (0.16,2.11)","0.7 (0.17,9.63)","0.16 (0.06,0.45)","0.75 (0.54,1.04)","1 (1,1)","0.26 (0.07,1.43)","0.78 (0.26,3.37)","0.63 (0.2,2.44)","0.22 (0.07,1.11)"
"beta[21]","1.38 (0.81,2.41)","2.61 (0.5,5.84)","2.08 (1.03,4.96)","0.87 (0.47,1.59)","1.78 (0.39,5.95)","0.45 (0.11,1.75)","2.2 (1.23,4.21)","1.57 (0.85,2.88)","2.17 (1.2,4.27)","1.96 (0.77,16.2)","0.54 (0.1,2.28)","2.78 (1.56,4.75)","1.89 (0.97,4.14)","2.07 (0.87,5.03)","1.33 (0.72,2.4)","1.85 (1.04,3.45)","3.37 (1.15,13.66)","0.6 (0.2,1.2)","2.72 (0.58,10.35)","3.91 (0.7,14.2)","1 (1,1)","3.01 (1.65,5.39)","2.32 (1.33,4.27)","0.92 (0.35,2.3)"
"beta[22]","0.46 (0.37,0.56)","0.88 (0.21,1.68)","0.67 (0.43,1.34)","0.3 (0.2,0.4)","0.61 (0.17,1.45)","0.15 (0.04,0.51)","0.74 (0.54,0.98)","0.52 (0.34,0.79)","0.74 (0.52,0.97)","0.6 (0.31,6)","0.19 (0.04,0.73)","0.92 (0.72,1.2)","0.63 (0.39,1.11)","0.68 (0.34,1.48)","0.44 (0.32,0.65)","0.62 (0.39,0.95)","1.11 (0.5,4.46)","0.2 (0.08,0.32)","0.95 (0.24,2.49)","1.29 (0.3,3.8)","0.33 (0.19,0.61)","1 (1,1)","0.79 (0.57,1.08)","0.3 (0.14,0.63)"
"beta[23]","0.59 (0.46,0.75)","1.12 (0.26,2.35)","0.88 (0.53,1.76)","0.37 (0.27,0.52)","0.8 (0.21,1.8)","0.19 (0.05,0.6)","0.93 (0.67,1.3)","0.67 (0.44,1.05)","0.94 (0.67,1.3)","0.76 (0.38,7.68)","0.24 (0.05,0.9)","1.18 (0.87,1.6)","0.82 (0.48,1.4)","0.89 (0.44,2.18)","0.56 (0.39,0.82)","0.8 (0.48,1.2)","1.35 (0.61,5.44)","0.26 (0.11,0.44)","1.2 (0.33,3.31)","1.6 (0.41,4.99)","0.43 (0.23,0.75)","1.26 (0.93,1.76)","1 (1,1)","0.39 (0.16,0.8)"
"beta[24]","1.49 (0.78,3.28)","2.86 (0.52,6.44)","2.26 (0.84,8.09)","0.94 (0.47,2.21)","2.06 (0.48,5.84)","0.44 (0.08,2.78)","2.36 (1.17,5.73)","1.73 (0.8,4.17)","2.35 (1.16,5.35)","2.19 (0.87,15.39)","0.57 (0.13,2.21)","2.97 (1.44,7.4)","2.13 (0.87,5.16)","2.25 (0.89,6.41)","1.42 (0.65,3.56)","2.04 (0.92,4.55)","3.6 (1.39,16.42)","0.66 (0.22,1.45)","3.23 (0.7,10.08)","4.49 (0.9,14.06)","1.09 (0.44,2.88)","3.28 (1.58,7.24)","2.57 (1.24,6.14)","1 (1,1)"
