"x"
"1" "Pairwise Treatment Co-efficients; Median hazard ratio (95% Credible Interval)"
"" "x"
"1" "Row treatment vs. Column treatment (reference)"
"" "x"
"1" "------------------"
"","ERL/GEF","AFA","AFA+CET","CARBO+PEM","CIS+PEM","CIS+PEM+GEF_m","DAC","EMI+ERL","ERL+BEV","ERL+PAC+CARBO","GEF+BEV","GEF+CARBO+PEM","GEF+CARBO+PEM (Alter)","GEF+FIC","GEF+MET","GEF+OLA","GEF+PEM","GEM+CIS","ICO","ICO high-dose","LIN+ERL","OSI","RAM+ERL","VIN+GEF"
"GEF+BEV","2.69 (0.46,12.63)","3.73 (0.58,15.23)","3.56 (0.56,16.92)","1.71 (0.29,8.23)","1.83 (0.29,7.72)","3.5 (0.57,16.35)","4.42 (0.73,20.85)","3.11 (0.5,14.79)","4.3 (0.74,20.27)","3.43 (0.54,15.44)","1 (1,1)","5.45 (0.94,25.95)","3.83 (0.63,19.21)","3.72 (0.56,21.32)","2.58 (0.42,12.16)","3.63 (0.6,17.47)","4.03 (0.65,19.06)","1 (0.17,4.58)","2.73 (0.43,12.59)","3.74 (0.56,17.79)","2.01 (0.32,9.63)","5.89 (1,27.05)","4.63 (0.78,21.92)","1.78 (0.23,9.23)"
"GEF+CARBO+PEM","0.5 (0.42,0.59)","0.66 (0.49,0.86)","0.64 (0.42,0.94)","0.31 (0.23,0.42)","0.33 (0.22,0.46)","0.64 (0.39,1.05)","0.8 (0.6,1.07)","0.56 (0.39,0.82)","0.8 (0.6,1.06)","0.62 (0.31,1.26)","0.18 (0.04,1.06)","1 (1,1)","0.7 (0.42,1.18)","0.68 (0.39,1.25)","0.48 (0.33,0.71)","0.66 (0.44,0.99)","0.73 (0.53,0.99)","0.18 (0.13,0.25)","0.49 (0.3,0.77)","0.67 (0.37,1.17)","0.36 (0.2,0.68)","1.08 (0.81,1.44)","0.84 (0.61,1.16)","0.31 (0.12,0.78)"
"GEF+CARBO+PEM (Alter)","0.71 (0.41,1.21)","0.94 (0.52,1.71)","0.91 (0.47,1.73)","0.45 (0.24,0.8)","0.46 (0.24,0.87)","0.91 (0.45,1.87)","1.14 (0.63,2.09)","0.8 (0.42,1.53)","1.13 (0.63,2.04)","0.89 (0.38,2.08)","0.26 (0.05,1.6)","1.42 (0.85,2.36)","1 (1,1)","0.97 (0.46,2.08)","0.68 (0.36,1.31)","0.94 (0.49,1.81)","1.04 (0.56,1.87)","0.26 (0.14,0.47)","0.7 (0.35,1.41)","0.93 (0.43,2.04)","0.52 (0.23,1.17)","1.53 (0.85,2.75)","1.2 (0.66,2.22)","0.45 (0.15,1.25)"
"GEF+FIC","0.73 (0.41,1.25)","0.95 (0.54,1.76)","0.91 (0.47,1.84)","0.46 (0.25,0.82)","0.47 (0.24,0.88)","0.94 (0.45,1.96)","1.18 (0.63,2.1)","0.82 (0.43,1.56)","1.17 (0.64,2.09)","0.9 (0.38,2.19)","0.27 (0.05,1.77)","1.46 (0.8,2.59)","1.03 (0.48,2.16)","1 (1,1)","0.7 (0.36,1.34)","0.97 (0.49,1.88)","1.07 (0.57,1.92)","0.26 (0.14,0.49)","0.71 (0.35,1.48)","0.95 (0.45,2.16)","0.53 (0.23,1.2)","1.58 (0.86,2.85)","1.23 (0.66,2.29)","0.46 (0.15,1.29)"
"GEF+MET","1.05 (0.74,1.46)","1.39 (0.91,2.04)","1.34 (0.81,2.19)","0.66 (0.43,1.01)","0.68 (0.42,1.05)","1.35 (0.76,2.38)","1.68 (1.12,2.5)","1.18 (0.72,1.86)","1.67 (1.12,2.49)","1.31 (0.63,2.72)","0.39 (0.08,2.41)","2.1 (1.41,3.06)","1.47 (0.76,2.79)","1.43 (0.75,2.8)","1 (1,1)","1.39 (0.84,2.25)","1.52 (0.99,2.34)","0.38 (0.25,0.58)","1.04 (0.59,1.78)","1.39 (0.72,2.64)","0.76 (0.39,1.47)","2.28 (1.52,3.38)","1.78 (1.14,2.7)","0.65 (0.23,1.73)"
"GEF+OLA","0.75 (0.52,1.1)","0.99 (0.65,1.51)","0.96 (0.57,1.62)","0.47 (0.3,0.74)","0.49 (0.3,0.8)","0.96 (0.54,1.74)","1.21 (0.79,1.86)","0.85 (0.52,1.41)","1.2 (0.8,1.85)","0.94 (0.44,2.02)","0.28 (0.06,1.67)","1.51 (1.01,2.28)","1.06 (0.55,2.05)","1.04 (0.53,2.04)","0.72 (0.44,1.18)","1 (1,1)","1.09 (0.7,1.74)","0.27 (0.17,0.43)","0.74 (0.42,1.31)","1 (0.52,1.94)","0.55 (0.27,1.13)","1.63 (1.06,2.52)","1.27 (0.8,2.03)","0.47 (0.17,1.29)"
"GEF+PEM","0.68 (0.52,0.89)","0.91 (0.63,1.29)","0.88 (0.55,1.36)","0.43 (0.3,0.62)","0.45 (0.28,0.68)","0.89 (0.52,1.52)","1.1 (0.78,1.56)","0.78 (0.5,1.18)","1.1 (0.78,1.54)","0.85 (0.43,1.82)","0.25 (0.05,1.53)","1.38 (1.01,1.88)","0.97 (0.53,1.79)","0.94 (0.52,1.76)","0.66 (0.43,1.01)","0.91 (0.57,1.44)","1 (1,1)","0.25 (0.17,0.37)","0.68 (0.4,1.12)","0.92 (0.49,1.66)","0.5 (0.26,0.97)","1.49 (1.07,2.09)","1.16 (0.81,1.66)","0.43 (0.16,1.06)"
"GEM+CIS","2.73 (2.1,3.62)","3.63 (2.81,4.7)","3.51 (2.36,5.16)","1.73 (1.2,2.48)","1.79 (1.23,2.52)","3.53 (2.18,5.75)","4.41 (3.08,6.24)","3.1 (2.01,4.79)","4.41 (3.06,6.26)","3.46 (1.67,7.17)","1 (0.22,5.96)","5.5 (3.97,7.62)","3.86 (2.11,7.04)","3.78 (2.05,7.06)","2.62 (1.73,4.05)","3.66 (2.31,5.72)","3.99 (2.71,5.96)","1 (1,1)","2.7 (1.69,4.37)","3.66 (2.03,6.59)","2 (1.04,3.9)","5.95 (4.21,8.42)","4.65 (3.19,6.75)","1.71 (0.66,4.36)"
"ICO","1 (0.66,1.58)","1.34 (0.91,1.98)","1.29 (0.78,2.17)","0.64 (0.39,1.07)","0.66 (0.48,0.89)","1.3 (0.79,2.23)","1.62 (1.01,2.66)","1.14 (0.67,2.03)","1.61 (1,2.66)","1.26 (0.57,2.87)","0.37 (0.08,2.33)","2.03 (1.3,3.29)","1.43 (0.71,2.89)","1.4 (0.68,2.84)","0.96 (0.56,1.7)","1.34 (0.77,2.36)","1.47 (0.89,2.5)","0.37 (0.23,0.59)","1 (1,1)","1.34 (0.97,1.9)","0.73 (0.36,1.53)","2.19 (1.37,3.63)","1.71 (1.04,2.87)","0.63 (0.22,1.71)"
"ICO high-dose","0.74 (0.44,1.32)","0.99 (0.58,1.66)","0.96 (0.52,1.77)","0.47 (0.26,0.87)","0.48 (0.3,0.77)","0.96 (0.53,1.82)","1.2 (0.67,2.21)","0.84 (0.46,1.65)","1.19 (0.67,2.19)","0.93 (0.39,2.25)","0.27 (0.06,1.77)","1.5 (0.85,2.7)","1.07 (0.49,2.33)","1.05 (0.46,2.22)","0.72 (0.38,1.38)","1 (0.52,1.94)","1.09 (0.6,2.04)","0.27 (0.15,0.49)","0.75 (0.53,1.04)","1 (1,1)","0.55 (0.25,1.21)","1.61 (0.89,3.02)","1.27 (0.68,2.38)","0.47 (0.16,1.33)"
"LIN+ERL","1.37 (0.75,2.4)","1.82 (0.96,3.34)","1.76 (0.85,3.49)","0.87 (0.46,1.63)","0.9 (0.45,1.7)","1.77 (0.81,3.68)","2.19 (1.19,4.09)","1.55 (0.78,2.94)","2.2 (1.15,4.09)","1.71 (0.72,4.16)","0.5 (0.1,3.15)","2.77 (1.47,4.98)","1.93 (0.86,4.38)","1.88 (0.83,4.38)","1.31 (0.68,2.58)","1.83 (0.88,3.71)","1.99 (1.04,3.79)","0.5 (0.26,0.96)","1.36 (0.66,2.77)","1.83 (0.83,4.04)","1 (1,1)","2.97 (1.55,5.46)","2.33 (1.23,4.26)","0.86 (0.26,2.48)"
"OSI","0.46 (0.37,0.57)","0.61 (0.45,0.82)","0.59 (0.38,0.88)","0.29 (0.21,0.41)","0.3 (0.2,0.44)","0.59 (0.36,1)","0.74 (0.53,1.02)","0.52 (0.35,0.78)","0.74 (0.54,1.01)","0.57 (0.29,1.2)","0.17 (0.04,1)","0.93 (0.7,1.23)","0.65 (0.36,1.18)","0.63 (0.35,1.16)","0.44 (0.3,0.66)","0.61 (0.4,0.94)","0.67 (0.48,0.94)","0.17 (0.12,0.24)","0.46 (0.28,0.73)","0.62 (0.33,1.12)","0.34 (0.18,0.64)","1 (1,1)","0.78 (0.55,1.11)","0.29 (0.11,0.73)"
"RAM+ERL","0.59 (0.46,0.77)","0.78 (0.55,1.1)","0.76 (0.48,1.19)","0.37 (0.26,0.53)","0.38 (0.25,0.58)","0.76 (0.46,1.27)","0.95 (0.68,1.33)","0.66 (0.45,1.02)","0.95 (0.67,1.33)","0.73 (0.36,1.57)","0.22 (0.05,1.29)","1.19 (0.86,1.63)","0.84 (0.45,1.53)","0.81 (0.44,1.52)","0.56 (0.37,0.88)","0.78 (0.49,1.25)","0.86 (0.6,1.24)","0.21 (0.15,0.31)","0.58 (0.35,0.96)","0.79 (0.42,1.46)","0.43 (0.23,0.81)","1.28 (0.9,1.81)","1 (1,1)","0.37 (0.14,0.94)"
"VIN+GEF","1.61 (0.65,4.05)","2.11 (0.84,5.2)","2.05 (0.78,5.24)","1 (0.4,2.62)","1.03 (0.4,2.72)","2.02 (0.74,5.83)","2.56 (1.01,6.83)","1.79 (0.69,4.88)","2.54 (1.01,6.84)","2.02 (0.64,6.28)","0.56 (0.11,4.27)","3.23 (1.29,8.32)","2.22 (0.8,6.69)","2.16 (0.78,6.57)","1.53 (0.58,4.31)","2.12 (0.78,5.97)","2.33 (0.94,6.29)","0.58 (0.23,1.52)","1.58 (0.59,4.44)","2.11 (0.75,6.3)","1.16 (0.4,3.83)","3.44 (1.36,8.96)","2.72 (1.06,7.16)","1 (1,1)"
